25;SOBRADO 1 SUITE, 2 QUARTOS, SALA, COZINHA,BANHEIRO;LAVANDERIA,GARAGEM.                               ;RUA MARINA FRUTOSO, 447 -CASA 02   ;                                                  ;CENTRO              ;JARAGUA DO SUL           ;89251500;SC;1;1;124;0;0;15;80000;0;0;1000;6069;5057; ;                                                  ;                                                  ;U;8175;0
26;APARTAMENTO C/3 QTOS,SALA,COPA/COZINHA.2 BWC      ;LAVANDERIA,2 DISPENSA,GARAGEM,SACADA.             ;R JOSE T.RIBEIRO,1.014 APTO 01     ;APTO 01                                           ;ILHA DA FIGUEIRA    ;JARAGUA DO SUL           ;89251000;SC;11;2;142;0;0;29;70600;0;0;1000;3710;4729; ;                                                  ;                                                  ;U;8175;0
27;SALA COMERCIAL C/140M2                            ;                                                  ;R.JOSE T.RIBEIRO,1.014 SALA 02/03  ;                                                  ;ILHA DA FIGUEIRA    ;JARAGUA DO SUL           ;89251000;SC;11;4;144;1;0;27;38000;0;0;1200;0;0; ;                                                  ;                                                  ;U;8175;
29;CASA ALVENARIA COM 2 QUARTOS,SALA,COZINHA,BWC,LA- ;]ANDERIA.                                         ;R.ONELIA HORST,307-FUNDOS          ;                                                  ;VILA LENZI          ;JARAGUA DO SUL           ;89252370;SC;2;1;126;0;0;14;38200;0;0;1200;1189;500; ;                                                  ;                                                  ;U;8175;
30;APARTAMENTO C/3 QTOS,SALA,COPA/COZINHA,2 BWC,LAVAN;DERIA,DISPENSA E GARAGEM.                         ;RUA JOSE T.RIBEIRO,1.014 AP.03     ;                                                  ;ILHA DA FIGUEIRA    ;JARAGUA DO SUL           ;89251000;SC;11;2;143;0;0;6;27000;0;0;1200;826;247; ;                                                  ;                                                  ;U;8175;
31;CASA DE MADEIRA,2 QTOS,SALA,COZ.BWC,LAVANDERIA,   ;GARAGEM.                                          ;R.JOSE THEODORO RIBEIRO,1.301      ;                                                  ;ILHA DA FIGUEIRA    ;JARAGUA DO SUL           ;89251000;SC;11;1;121;0;0;20;15000;0;0;1000;0;0; ;                                                  ;                                                  ;U;8175;
33;CASA MADEIRA,3 QTOS,SALA,COZ.BWC,LAVANDERIA E     ;GARAGEM.                                          ;RUA JOAO DOBRAWA,122               ;                                                  ;CZERNIEWICZ         ;JARAGUA DO SUL           ;89251000;SC;7;1;1135;0;0;16;72800;0;0;1000;0;0; ;                                                  ;                                                  ;U;8175;
34;SALA COMERCIAL COM 30,00M2.                       ;                                                  ;AV MAL DEODORO DA FONSECA,855 S/103;                                                  ;CENTRO              ;JARAGUA DO SUL           ;89251000;SC;1;4;145;1;0;8;13000;0;0;1000;249;43; ;                                                  ;                                                  ;U;8175;
35;CASA DE MADEIRA,3 QUARTOS,SALA,COZINHA,BANHEIRO,LA;VANDERIA E GARAGEM.                               ;R.ALVINO FLORIANO DE BORBA,105     ;                                                  ;ILHA DA FIGUEIRA    ;JARAGUA DO SUL           ;89251000;SC;11;1;147;0;0;15;22000;0;0;1200;0;0; ;                                                  ;                                                  ;U;8175;
36;CASA DE MADEIRA.                                  ;                                                  ;RUA ANGELO JULIO BARUFE,30         ;                                                  ;ILHA DA FIGUEIRA    ;JARAGUA DO SUL           ;89251000;SC;11;1;147;0;0;15;33000;0;0;1200;228;174; ;                                                  ;                                                  ;U;8175;
39;SALA COMERCIAL                                    ;                                                  ;RIO DA LUZ                         ;                                                  ;                    ;                         ;89251000;  ;13;4;281;1;0;10;55000;0;0;1200;255;46; ;                                                  ;                                                  ;U;8175;
40;CASA DE MADEIRA- 3 QUARTOS,SALA/COPA,COZINHA,BWC, ;LAVANDERIA,GARAGEM.                               ;RUA ONELIA HORST, 307              ;                                                  ;VILA LENZI          ;JARAGUA DO SUL           ;89252370;SC;2;1;126;0;0;16;57600;0;0;1200;1279;4841; ;                                                  ;                                                  ;U;8175;0
